epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,36925.9,0.77019,0.57905,0.01209,0.79194,0.64441,0.72341,0.64262,0.82638,1.39756,0.01407,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,37460.8,0.76783,0.5715,0.01208,0.79142,0.64437,0.72309,0.64249,0.82166,1.38037,0.01394,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,37994.5,0.76321,0.56979,0.01203,0.79744,0.6413,0.72294,0.64245,0.82144,1.37719,0.01395,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,38529.1,0.76248,0.56949,0.01195,0.79604,0.64259,0.72289,0.64233,0.82255,1.37597,0.01398,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,39062.8,0.75277,0.55638,0.01187,0.78762,0.64502,0.72265,0.6419,0.82017,1.38212,0.01392,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,39594.5,0.74609,0.54697,0.01171,0.79176,0.64425,0.72367,0.64326,0.82044,1.37607,0.01392,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,40127.8,0.74653,0.54622,0.01171,0.76883,0.7827,0.72475,0.64315,0.8196,1.37519,0.01391,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,40663.7,0.73709,0.53621,0.01163,0.78596,0.64803,0.72399,0.64284,0.81873,1.38097,0.01388,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,41195.1,0.73482,0.53465,0.01153,0.78499,0.77603,0.72455,0.64258,0.82,1.3766,0.01393,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,41729.6,0.73378,0.53175,0.01147,0.7829,0.77384,0.72405,0.642,0.82093,1.37759,0.01394,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,42262.7,0.7266,0.52614,0.01138,0.78361,0.7736,0.72435,0.64252,0.82125,1.37577,0.01394,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,42789.8,0.71984,0.51528,0.01121,0.79135,0.77176,0.7248,0.64345,0.82253,1.36809,0.01393,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,43337.2,0.72346,0.51487,0.01123,0.79546,0.76882,0.72462,0.64272,0.82185,1.41945,0.01384,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,43892.8,0.71907,0.50763,0.01115,0.80361,0.76673,0.72442,0.64295,0.82417,1.35664,0.01392,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,44444.9,0.70997,0.50329,0.01106,0.79637,0.76946,0.72348,0.64214,0.82492,1.36645,0.01392,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,44997.2,0.70443,0.50407,0.01086,0.80141,0.76841,0.72427,0.64287,0.8261,1.40402,0.01383,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,45553.3,0.69609,0.49039,0.0109,0.80051,0.7692,0.72449,0.64354,0.82604,1.41385,0.01382,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,46106.4,0.69129,0.48735,0.01074,0.80498,0.7658,0.72454,0.64345,0.82203,1.40934,0.01369,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,46661.1,0.68895,0.48436,0.01071,0.81113,0.76155,0.72492,0.64393,0.82027,1.4185,0.01366,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,47244.3,0.60157,0.31422,0.01272,0.81721,0.75848,0.72512,0.64416,0.82306,1.40197,0.01374,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,47797.3,0.58841,0.30067,0.01246,0.81527,0.76167,0.72507,0.64399,0.82514,1.42292,0.01391,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,48349.7,0.58132,0.29153,0.01223,0.80161,0.76606,0.72485,0.64333,0.82444,1.43499,0.01387,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,48899.9,0.56768,0.28815,0.01185,0.80399,0.76708,0.72552,0.64427,0.8236,1.42669,0.01384,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,49406.2,0.56055,0.2797,0.01161,0.80295,0.76819,0.72543,0.64477,0.82235,1.406,0.01378,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,49868.2,0.55902,0.27744,0.0116,0.8254,0.75356,0.72557,0.64445,0.81822,1.39532,0.01371,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,50330.9,0.55267,0.26935,0.01143,0.82337,0.7546,0.7246,0.64401,0.81533,1.3945,0.01361,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,50792.7,0.54175,0.25969,0.01118,0.81894,0.75372,0.72484,0.64441,0.80553,1.38224,0.01334,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,51255.4,0.53729,0.25264,0.01101,0.8218,0.75411,0.72483,0.64485,0.80921,1.37657,0.01347,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,51714.8,0.52851,0.25136,0.01084,0.80109,0.77168,0.72422,0.64435,0.80837,1.37591,0.01349,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
